GLEAN_00739	TC000739
GLEAN_00740	TC000740
GLEAN_00741	TC000741
GLEAN_00742	TC000742
GLEAN_00743	TC000743
GLEAN_00744	TC000744
GLEAN_00745	TC000745
GLEAN_00746	TC000746
GLEAN_00747	TC000747
GLEAN_00748	TC000748
GLEAN_00749	TC000749
GLEAN_00750	TC000750
GLEAN_00751	TC000751
GLEAN_00752	TC000752
GLEAN_00753	TC000753
GLEAN_00754	TC000754
GLEAN_00755	TC000755
GLEAN_00756	TC000756
GLEAN_00757	TC000757
GLEAN_00758	TC000758
GLEAN_00759	TC000759
GLEAN_00760	TC000760
GLEAN_00761	TC000761
GLEAN_00762	TC000762
GLEAN_00763	TC000763
GLEAN_00764	TC000764
GLEAN_00765	TC000765
GLEAN_00766	TC000766
GLEAN_00767	TC000767
GLEAN_00768	TC000768
GLEAN_00769	TC000769
GLEAN_00770	TC000770
GLEAN_00771	TC000771
GLEAN_00772	TC000772
GLEAN_00773	TC000773
GLEAN_00774	TC000774
GLEAN_00775	TC000775
GLEAN_00776	TC000776
GLEAN_00777	TC000777
GLEAN_00778	TC000778
GLEAN_00779	TC000779
GLEAN_00780	TC000780
GLEAN_00781	TC000781
GLEAN_00782	TC000782
GLEAN_00783	TC000783
GLEAN_00784	TC000784
GLEAN_00785	TC000785
GLEAN_00786	TC000786
GLEAN_00787	TC000787
GLEAN_00788	TC000788
GLEAN_00789	TC000789
GLEAN_00790	TC000790
GLEAN_00791	TC000791
GLEAN_00792	TC000792
GLEAN_00793	TC000793
GLEAN_00795	TC000795
GLEAN_00796	TC000796
GLEAN_00797	TC000797
GLEAN_00798	TC000798
GLEAN_00799	TC000799
GLEAN_00800	TC000800
GLEAN_00801	TC000801
GLEAN_00802	TC000802
GLEAN_00803	TC000803
GLEAN_00804	TC000804
GLEAN_00805	TC000805
GLEAN_00806	TC000806
GLEAN_00807	TC000807
GLEAN_00808	TC000808
GLEAN_00810	TC000810
GLEAN_00811	TC000811
GLEAN_00812	TC000812
GLEAN_00813	TC000813
GLEAN_00814	TC000814
GLEAN_00815	TC000815
GLEAN_00816	TC000816
GLEAN_00817	TC000817
GLEAN_00818	TC000818
GLEAN_00819	TC000819
GLEAN_00820	TC000820
GLEAN_00821	TC000821
GLEAN_00822	TC000822
GLEAN_00823	TC000823
GLEAN_00824	TC000824
GLEAN_00825	TC000825
GLEAN_00826	TC000826
GLEAN_00827	TC000827
GLEAN_00828	TC000828
GLEAN_00829	TC000829
GLEAN_00830	TC000830
GLEAN_00831	TC000831
GLEAN_00832	TC000832
GLEAN_00833	TC000833
GLEAN_00834	TC000834
GLEAN_00835	TC000835
GLEAN_00836	TC000836
GLEAN_00837	TC000837
GLEAN_00838	TC000838
GLEAN_00840	TC000840
GLEAN_00841	TC000841
GLEAN_00842	TC000842
GLEAN_00843	TC000843
GLEAN_00844	TC000844
GLEAN_00845	TC000845
GLEAN_00846	TC000846
GLEAN_00847	TC000847
GLEAN_00848	TC000848
GLEAN_00849	TC000849
GLEAN_00850	TC000850
GLEAN_00851	TC000851
GLEAN_00852	TC000852
GLEAN_00853	TC000853
GLEAN_00854	TC000854
GLEAN_00855	TC000855
GLEAN_00856	TC000856
GLEAN_00857	TC000857
GLEAN_00858	TC000858
GLEAN_00859	TC000859
GLEAN_00860	TC000860
GLEAN_00861	TC000861
GLEAN_00862	TC000862
GLEAN_00863	TC000863
GLEAN_00864	TC000864
GLEAN_00865	TC000865
GLEAN_00866	TC000866
GLEAN_00867	TC000867
GLEAN_00868	TC000868
GLEAN_00869	TC000869
GLEAN_00870	TC000870
GLEAN_00871	TC000871
GLEAN_00872	TC000872
GLEAN_00873	TC000873
GLEAN_00874	TC000874
GLEAN_00875	TC000875
GLEAN_00876	TC000876
GLEAN_00877	TC000877
GLEAN_00878	TC000878
GLEAN_00879	TC000879
GLEAN_00880	TC000880
GLEAN_00881	TC000881
GLEAN_00882	TC000882
GLEAN_00883	TC000883
GLEAN_00884	TC000884
GLEAN_00885	TC000885
GLEAN_00886	TC000886
GLEAN_00887	TC000887
GLEAN_00889	TC000889
GLEAN_00890	TC000890
GLEAN_00891	TC000891
GLEAN_00892	TC000892
GLEAN_00893	TC000893
GLEAN_00894	TC000894
GLEAN_00897	TC000897
GLEAN_00898	TC000898
GLEAN_00899	TC000899
GLEAN_00900	TC000900
GLEAN_00901	TC000901
GLEAN_00902	TC000902
GLEAN_00903	TC000903
GLEAN_00907	TC000907
GLEAN_00908	TC000908
GLEAN_00909	TC000909
GLEAN_00910	TC000910
GLEAN_00912	TC000912
GLEAN_00913	TC000913
GLEAN_00914	TC000914
GLEAN_00915	TC000915
GLEAN_00916	TC000916
GLEAN_00917	TC000917
GLEAN_00920	TC000920
GLEAN_00921	TC000921
GLEAN_00922	TC000922
GLEAN_00923	TC000923
GLEAN_00924	TC000924
GLEAN_00925	TC000925
GLEAN_00926	TC000926
GLEAN_00928	TC000928
GLEAN_00929	TC000929
GLEAN_00930	TC000930
GLEAN_00931	TC000931
GLEAN_00932	TC000932
GLEAN_00933	TC000933
GLEAN_00934	TC000934
GLEAN_00935	TC000935
GLEAN_00936	TC000936
GLEAN_00937	TC000937
GLEAN_00938	TC000938
GLEAN_00939	TC000939
GLEAN_00940	TC000940
GLEAN_00941	TC000941
GLEAN_00942	TC000942
GLEAN_00943	TC000943
GLEAN_00944	TC000944
GLEAN_00945	TC000945
GLEAN_00946	TC000946
GLEAN_00947	TC000947
GLEAN_00948	TC000948
GLEAN_00949	TC000949
GLEAN_00950	TC000950
GLEAN_00951	TC000951
GLEAN_00952	TC000952
GLEAN_00953	TC000953
GLEAN_00954	TC000954
GLEAN_00955	TC000955
GLEAN_00956	TC000956
GLEAN_00957	TC000957
GLEAN_00958	TC000958
GLEAN_00959	TC000959
GLEAN_00960	TC000960
GLEAN_00961	TC000961
GLEAN_00962	TC000962
GLEAN_00963	TC000963
GLEAN_00964	TC000964
GLEAN_00965	TC000965
GLEAN_00966	TC000966
GLEAN_00967	TC000967
GLEAN_00968	TC000968
GLEAN_00969	TC000969
GLEAN_00970	TC000970
GLEAN_00971	TC000971
GLEAN_00972	TC000972
GLEAN_00973	TC000973
GLEAN_00974	TC000974
GLEAN_00975	TC000975
GLEAN_00976	TC000976
GLEAN_00977	TC000977
GLEAN_00979	TC000979
GLEAN_00980	TC000980
GLEAN_00981	TC000981
GLEAN_00982	TC000982
GLEAN_00985	TC000985
GLEAN_00986	TC000986
GLEAN_00987	TC000987
GLEAN_00988	TC000988
GLEAN_00990	TC000990
GLEAN_00991	TC000991
GLEAN_00992	TC000992
GLEAN_00993	TC000993
GLEAN_00994	TC000994
GLEAN_00995	TC000995
GLEAN_00996	TC000996
GLEAN_00997	TC000997
GLEAN_00998	TC000998
GLEAN_01000	TC001000
GLEAN_01001	TC001001
GLEAN_01002	TC001002
GLEAN_01003	TC001003
GLEAN_01004	TC001004
GLEAN_01005	TC001005
GLEAN_01006	TC001006
GLEAN_01007	TC001007
GLEAN_01008	TC001008
GLEAN_01009	TC001009
GLEAN_01010	TC001010
GLEAN_01011	TC001011
GLEAN_01012	TC001012
GLEAN_01013	TC001013
GLEAN_01014	TC001014
GLEAN_01015	TC001015
GLEAN_01016	TC001016
GLEAN_01017	TC001017
GLEAN_01018	TC001018
GLEAN_01019	TC001019
GLEAN_01020	TC001020
GLEAN_01022	TC001022
GLEAN_01023	TC001023
GLEAN_01024	TC001024
GLEAN_01025	TC001025
GLEAN_01026	TC001026
GLEAN_01027	TC001027
GLEAN_01028	TC001028
GLEAN_01029	TC001029
GLEAN_01030	TC001030
GLEAN_01031	TC001031
GLEAN_01032	TC001032
GLEAN_01033	TC001033
GLEAN_01034	TC001034
GLEAN_01035	TC001035
GLEAN_01036	TC001036
GLEAN_01037	TC001037
GLEAN_01038	TC001038
GLEAN_01039	TC001039
GLEAN_01040	TC001040
GLEAN_01041	TC001041
GLEAN_01042	TC001042
GLEAN_01043	TC001043
GLEAN_01044	TC001044
